Mario bestellingen

Let op! De vermelde prijzen zijn de prijzen ten tijde van de bestelling

Winkelnaam;Klantnaam;TelefoonNr;Email;Adres;Woonplaats;Besteldatum;AfleverType;AfleverDatum;AfleverMoment;Product;PizzaBodem;PizzaSaus;Prijs;Bezorgkosten;Aantal;Extra Ingrediënten;Prijs Extra Ingrediënten;Regelprijs;Totaalprijs;Gebruikte Coupon;Coupon Korting;Te Betalen
Roosendaal;Joël Eland;06-98505858;JoelEland@jourrapide.com;Abdijberg 51;Roosendaal;maandag 21 mei 2018;Afhalen;maandag 21 mei 2018;17:58;Salame Speciale;Italian Pizza;Tomatensaus;€ 6,95;;2;;€ 0,00;€ 15,90;€ 29,85;2e pizza gratis bij afhalen;€ 8,95;€ 20,90
;;;;;;;;;;Pollo Pomodore;Family XXL Pizza;Tomatensaus;€ 8,95;;1;;€ 0,00;€ 13,95;;;;

Heerhugowaard;Arabella van der Zwart;06-98687045;ArabellavanderZwart@gustr.com;Jan Mostaertlaan 54;Heerhugowaard;zaterdag 20 oktober 2018;Afhalen;zaterdag 20 oktober 2018;20:28;Tricolore;Medium Cheesy Crust Pizza;Creme Fraiche;€ 8,95;;2;;€ 0,00;€ 21,90;€ 87,60;;€ 0,00;€ 87,60
;;;;;;;;;;Extravaganzza;Family XXL Pizza;Tomatensaus;€ 7,95;;2;;€ 0,00;€ 25,90;;;;
;;;;;;;;;;Extravaganzza;Medium Cheesy Crust Pizza;Tomatensaus;€ 7,95;;2;;€ 0,00;€ 19,90;;;;
;;;;;;;;;;Pollo Pomodore;Italian Pizza;Tomatensaus;€ 8,95;;2;;€ 0,00;€ 19,90;;;;

Utrecht Adelaarstraat;Salah Bekkers;06-35713349;SalahBekkers@fleckens.hu;Rijksstraatweg 165;De Meern;zondag 19 augustus 2018;Afhalen;zondag 19 augustus 2018;20:32;Margaritha;Italian Pizza;Tomatensaus;€ 4,95;;1;;€ 0,00;€ 5,95;€ 16,90;25% korting op je bestelling;€ 4,23;€ 12,68
;;;;;;;;;;Americana;Large Pizza;Tomatensaus;€ 6,95;;1;;€ 0,00;€ 10,95;;;;

Rotterdam Schiebroek;Deveney Blok;06-99677932;DeveneyBlok@dayrep.com;Valkreek 141;Rotterdam;maandag 30 januari 2017;Afhalen;maandag 30 januari 2017;20:07;BBQ Mixed Grill;Medium Cheesy Crust Pizza;Barbecue Saus;€ 7,95;;4;;€ 0,00;€ 39,80;€ 95,55;;€ 0,00;€ 95,55
;;;;;;;;;;Pollo Pomodore;Medium Cheesy Crust Pizza;Tomatensaus;€ 8,95;;2;;€ 0,00;€ 21,90;;;;
;;;;;;;;;;Americana;Large Pizza;Tomatensaus;€ 6,95;;2;Spinazie, Tonijn;€ 2,50;€ 26,90;;;;
;;;;;;;;;;Deluxe;Medium Pizza;Tomatensaus;€ 6,95;;1;;€ 0,00;€ 6,95;;;;

Den Bosch Empel;Meghan Bart;06-21306084;MeghanBart@armyspy.com;Achter den Engelschen Pispot 192;s-Hertogenbosch;zondag 18 november 2018;Afhalen;zondag 18 november 2018;19:18;Hawaii;Medium Pizza;Tomatensaus;€ 6,95;;1;;€ 0,00;€ 6,95;€ 12,90;€ 2,- Korting op een bestelling vanaf € 25,-;€ 0,00;€ 12,90
;;;;;;;;;;Funghi;Italian Pizza;Tomatensaus;€ 4,95;;1;;€ 0,00;€ 5,95;;;;

Ede;Adne Lintsen;06-90772166;AdneLintsen@dayrep.com;Monroedreef 17;Ede;donderdag 21 december 2017;Afhalen;donderdag 21 december 2017;17:39;Creamy Bacon;Italian Pizza;Creme Fraiche;€ 7,95;;2;;€ 0,00;€ 17,90;€ 50,75;;€ 0,00;€ 50,75
;;;;;;;;;;Tonno;Family XXL Pizza;Tomatensaus;€ 6,95;;2;;€ 0,00;€ 23,90;;;;
;;;;;;;;;;Margaritha;Large Pizza;Tomatensaus;€ 4,95;;1;;€ 0,00;€ 8,95;;;;

Maastricht;Yari Kuijsters;06-28085608;YariKuijsters@fleckens.hu;Hoge Weerd 37;Maastricht;dinsdag 3 juli 2018;Afhalen;dinsdag 3 juli 2018;20:13;Veggi;Large Pizza;Tomatensaus;€ 6,95;;1;;€ 0,00;€ 10,95;€ 23,90;;€ 0,00;€ 23,90
;;;;;;;;;;Supreme;Family XXL Pizza;Barbecue Saus;€ 7,95;;1;;€ 0,00;€ 12,95;;;;

Groningen Boterdiep;Teske Mittendorff;06-98807295;TeskeMittendorff@jourrapide.com;Haydnlaan 64;Groningen;maandag 21 augustus 2017;Afhalen;maandag 21 augustus 2017;20:35;Pollo Pomodore;Italian Pizza;Tomatensaus;€ 8,95;;1;;€ 0,00;€ 9,95;€ 9,95;;€ 0,00;€ 9,95

Den Helder;Jenneken van Kampen;06-80873706;JennekenvanKampen@teleworm.us;Koningdwarsstraat 88;Den Helder;vrijdag 22 februari 2019;Bezorgen;vrijdag 22 februari 2019;16:09;Perfect Pepperoni;Large Pizza;Tomatensaus;€ 4,95;€ 2,00;1;;€ 0,00;€ 10,95;€ 38,85;25% korting op je bestelling;€ 9,71;€ 29,14
;;;;;;;;;;Shoarma;Large Pizza;Tomatensaus;€ 7,95;€ 2,00;2;;€ 0,00;€ 27,90;;;;

Schiedam;Liliana Waals;06-26675562;LilianaWaals@superrito.com;Oostsingel 70;Schiedam;woensdag 18 juli 2018;Bezorgen;woensdag 18 juli 2018;17:48;Perfect Pepperoni;Medium Cheesy Crust Pizza;Tomatensaus;€ 4,95;€ 2,00;2;;€ 0,00;€ 17,90;€ 64,70;;€ 0,00;€ 64,70
;;;;;;;;;;Caprese;Medium Pizza;Tomatensaus;€ 4,95;€ 2,00;1;;€ 0,00;€ 6,95;;;;
;;;;;;;;;;Tonno;Italian Pizza;Tomatensaus;€ 6,95;€ 2,00;1;;€ 0,00;€ 9,95;;;;
;;;;;;;;;;Hawaii;Family XXL Pizza;Tomatensaus;€ 6,95;€ 2,00;2;Merguez;€ 1,00;€ 29,90;;;;

Groningen Paddepoel;Philine van Kester;06-72125586;PhilinevanKester@einrot.com;Irislaan 57;Groningen;donderdag 5 april 2018;Bezorgen;donderdag 5 april 2018;18:47;BBQ Mixed Grill;Family XXL Pizza;Barbecue Saus;€ 7,95;€ 2,00;1;;€ 0,00;€ 14,95;€ 70,70;3e pizza gratis bij bezorgen;€ 4,95;€ 65,75
;;;;;;;;;;BBQ Mixed Grill;Family XXL Pizza;Barbecue Saus;€ 7,95;€ 2,00;2;;€ 0,00;€ 29,90;;;;
;;;;;;;;;;Margaritha;Italian Pizza;Tomatensaus;€ 4,95;€ 2,00;1;;€ 0,00;€ 7,95;;;;
;;;;;;;;;;Veggi;Medium Pizza;Tomatensaus;€ 6,95;€ 2,00;2;;€ 0,00;€ 17,90;;;;

Brunssum;Johannus Groenevelt;06-16207843;JohannusGroenevelt@fleckens.hu;De Negristraat 7;Brunssum;vrijdag 23 juni 2017;Bezorgen;vrijdag 23 juni 2017;16:06;Tonno;Italian Pizza;Tomatensaus;€ 6,95;€ 2,00;1;;€ 0,00;€ 9,95;€ 39,85;;€ 0,00;€ 39,85
;;;;;;;;;;Extravaganzza;Family XXL Pizza;Tomatensaus;€ 7,95;€ 2,00;2;;€ 0,00;€ 29,90;;;;

Amsterdam Oostelijke Handelskade;Cheyenna Kupers;06-99469113;CheyennaKupers@armyspy.com;Korte Meerhuizenstraat 135;Amsterdam;vrijdag 8 februari 2019;Afhalen;vrijdag 8 februari 2019;20:21;Creamy Bacon;Medium Pizza;Creme Fraiche;€ 7,95;;2;;€ 0,00;€ 15,90;€ 15,90;;€ 0,00;€ 15,90

Sittard;Fer van Welij;06-97515394;FervanWelij@dayrep.com;Weidestraat 198;Grevenbicht;zondag 8 oktober 2017;Bezorgen;zondag 8 oktober 2017;20:38;Caprese;Medium Pizza;Tomatensaus;€ 4,95;€ 2,00;2;Champignons, Chicken Kebab, Kip;€ 4,00;€ 21,90;€ 79,70;;€ 0,00;€ 79,70
;;;;;;;;;;Hawaii;Large Pizza;Tomatensaus;€ 6,95;€ 2,00;2;Chorizo, Pepperoni, Knoflooksaus Swirl;€ 2,50;€ 30,90;;;;
;;;;;;;;;;Salame Speciale;Family XXL Pizza;Tomatensaus;€ 6,95;€ 2,00;1;;€ 0,00;€ 13,95;;;;
;;;;;;;;;;Chicken Supreme;Large Pizza;Tomatensaus;€ 6,95;€ 2,00;1;;€ 0,00;€ 12,95;;;;

Houten;Rebekka Kruiper;06-40381140;RebekkaKruiper@teleworm.us;Eikenhout 6;Houten;dinsdag 10 december 2019;Afhalen;dinsdag 10 december 2019;20:06;Supreme;Family XXL Pizza;Barbecue Saus;€ 7,95;;1;Kip, Merguez, Spinazie, Champignons;€ 4,00;€ 16,95;€ 34,85;2e pizza gratis bij afhalen;€ 4,95;€ 29,90
;;;;;;;;;;Margaritha;Large Pizza;Tomatensaus;€ 4,95;;1;;€ 0,00;€ 8,95;;;;
;;;;;;;;;;Caprese;Large Pizza;Tomatensaus;€ 4,95;;1;;€ 0,00;€ 8,95;;;;

Drachten;Elissa van Keeken;06-19710374;ElissavanKeeken@dayrep.com;Van Anrooijstraat 141;Oss;woensdag 25 september 2019;Bezorgen;woensdag 25 september 2019;19:41;Hawaii;Medium Cheesy Crust Pizza;Tomatensaus;€ 6,95;€ 2,00;2;;€ 0,00;€ 21,90;€ 57,70;;€ 0,00;€ 57,70
;;;;;;;;;;Chicken Supreme;Medium Pizza;Tomatensaus;€ 6,95;€ 2,00;4;;€ 0,00;€ 35,80;;;;

Ede;Kenrick Rosbergen;06-10931516;KenrickRosbergen@jourrapide.com;Joh. Bosboomlaan 18;Ede;maandag 17 september 2018;Afhalen;maandag 17 september 2018;16:38;Hawaii;Medium Pizza;Tomatensaus;€ 6,95;;1;;€ 0,00;€ 6,95;€ 6,95;;€ 0,00;€ 6,95

Den Haag Goudenregenplein;Nurgül van Kaam;06-19773278;NurgulvanKaam@dayrep.com;Leeuwarderstraatweg 20;Nieuwebrug;donderdag 12 april 2018;Bezorgen;donderdag 12 april 2018;18:21;Tonno;Medium Pizza;Tomatensaus;€ 6,95;€ 2,00;1;;€ 0,00;€ 8,95;€ 58,75;;€ 0,00;€ 58,75
;;;;;;;;;;Four Cheese;Family XXL Pizza;Tomatensaus;€ 7,95;€ 2,00;1;;€ 0,00;€ 14,95;;;;
;;;;;;;;;;BBQ Cannibale;Large Pizza;Barbecue Saus;€ 4,95;€ 2,00;1;;€ 0,00;€ 10,95;;;;
;;;;;;;;;;Supreme;Medium Cheesy Crust Pizza;Barbecue Saus;€ 7,95;€ 2,00;2;;€ 0,00;€ 23,90;;;;

Velp;Jense Feenstra;06-67194359;JenseFeenstra@dayrep.com;Pastoor Kerboschlaan 23;Lottum;dinsdag 17 januari 2017;Bezorgen;dinsdag 17 januari 2017;18:47;Funghi;Family XXL Pizza;Tomatensaus;€ 4,95;€ 2,00;2;;€ 0,00;€ 23,90;€ 23,90;;€ 0,00;€ 23,90

Enschede;Wilhelmus Uyar;06-77137598;WilhelmusUyar@dayrep.com;Keuperweg 108;Enschede;dinsdag 5 september 2017;Bezorgen;dinsdag 5 september 2017;18:44;BBQ Cannibale;Medium Cheesy Crust Pizza;Barbecue Saus;€ 4,95;€ 2,00;1;;€ 0,00;€ 8,95;€ 58,25;;€ 0,00;€ 58,25
;;;;;;;;;;Four Cheese;Family XXL Pizza;Tomatensaus;€ 7,95;€ 2,00;1;;€ 0,00;€ 14,95;;;;
;;;;;;;;;;Four Cheese;Italian Pizza;Tomatensaus;€ 7,95;€ 2,00;2;;€ 0,00;€ 21,90;;;;
;;;;;;;;;;Caprese;Medium Cheesy Crust Pizza;Tomatensaus;€ 4,95;€ 2,00;1;;€ 0,00;€ 8,95;;;;
;;;;;;;;;;Chili Saus;;;€ 0,25; ; 2;;;€ 0,50;;;;
;;;;;;;;;;0.33 liter Coca Cola;;;€ 1,50; ; 2;;;€ 3,00;;;;

Tilburg Thomas van Aquinostraat;Aaya Spierenburg;06-55288176;AayaSpierenburg@jourrapide.com;Van der Horststraat 99;Tilburg;vrijdag 3 februari 2017;Bezorgen;vrijdag 3 februari 2017;17:12;BBQ Chicken Hawaii;Medium Pizza;Barbecue Saus;€ 6,95;€ 2,00;1;;€ 0,00;€ 8,95;€ 19,90;;€ 0,00;€ 19,90
;;;;;;;;;;Tonno;Medium Cheesy Crust Pizza;Tomatensaus;€ 6,95;€ 2,00;1;;€ 0,00;€ 10,95;;;;

Schiedam;Tiara van Gageldonk;06-48721566;TiaravanGageldonk@teleworm.us;Noordvestsingel 148;Schiedam;zaterdag 20 april 2019;Afhalen;zaterdag 20 april 2019;18:57;Four Cheese;Italian Pizza;Tomatensaus;€ 7,95;;1;;€ 0,00;€ 8,95;€ 8,95;;€ 0,00;€ 8,95

Dordrecht Van Oldenbarneveltplein;Jillis Gloudemans;06-94852379;JillisGloudemans@rhyta.com;Zuidendijk 163;Dordrecht;woensdag 31 mei 2017;Afhalen;woensdag 31 mei 2017;18:48;Deluxe;Medium Cheesy Crust Pizza;Tomatensaus;€ 6,95;;2;;€ 0,00;€ 17,90;€ 67,60;;€ 0,00;€ 67,60
;;;;;;;;;;BBQ Cannibale;Medium Cheesy Crust Pizza;Barbecue Saus;€ 4,95;;2;;€ 0,00;€ 13,90;;;;
;;;;;;;;;;Chicken Kebab;Italian Pizza;Tomatensaus;€ 7,95;;4;;€ 0,00;€ 35,80;;;;

Tiel;Silvy dos Santos;06-34022014;SilvydosSantos@cuvox.de;Weerstraat 171;Tiel;zondag 15 januari 2017;Afhalen;zondag 15 januari 2017;20:47;Four Cheese;Family XXL Pizza;Tomatensaus;€ 7,95;;1;;€ 0,00;€ 12,95;€ 42,80;;€ 0,00;€ 42,80
;;;;;;;;;;Chicken Kebab;Medium Cheesy Crust Pizza;Tomatensaus;€ 7,95;;1;Rode Ui, Champignons, Kaas;€ 3,00;€ 12,95;;;;
;;;;;;;;;;Funghi;Large Pizza;Tomatensaus;€ 4,95;;1;;€ 0,00;€ 8,95;;;;
;;;;;;;;;;Shoarma;Medium Pizza;Tomatensaus;€ 7,95;;1;;€ 0,00;€ 7,95;;;;

Waalwijk;Ronin Cok;06-67605601;RoninCok@teleworm.us;Ambachtsherenlaan 29;Waspik;zondag 15 april 2018;Bezorgen;zondag 15 april 2018;19:23;Margaritha;Large Pizza;Tomatensaus;€ 4,95;€ 2,00;1;;€ 0,00;€ 10,95;€ 10,95;3e pizza gratis bij bezorgen;€ 0,00;€ 10,95

Den Haag Torenstraat;Siemen Mattijssen;06-26874204;SiemenMattijssen@jourrapide.com;Griend 163;Elst;vrijdag 3 februari 2017;Bezorgen;vrijdag 3 februari 2017;19:50;BBQ Cannibale;Medium Pizza;Barbecue Saus;€ 4,95;€ 2,00;4;;€ 0,00;€ 27,80;€ 27,80;;€ 0,00;€ 27,80

Enschede;Leonoor van Verseveld;06-32933489;LeonoorvanVerseveld@fleckens.hu;Lonnekerbrugstraat 149;Enschede;vrijdag 21 juli 2017;Afhalen;vrijdag 21 juli 2017;16:07;Caprese;Medium Pizza;Tomatensaus;€ 4,95;;1;;€ 0,00;€ 4,95;€ 4,95;2e pizza gratis bij afhalen;€ 0,00;€ 4,95

Landgraaf;Jaclyn van de Lagemaat;06-65562870;JaclynvandeLagemaat@einrot.com;Olmenstraat 73;Landgraaf;vrijdag 22 november 2019;Afhalen;vrijdag 22 november 2019;18:29;Margaritha;Large Pizza;Tomatensaus;€ 4,95;;2;;€ 0,00;€ 17,90;€ 26,85;;€ 0,00;€ 26,85
;;;;;;;;;;Beenham;Medium Cheesy Crust Pizza;Tomatensaus;€ 6,95;;1;;€ 0,00;€ 8,95;;;;

Apeldoorn;Denny Jeronimus;06-67560559;DennyJeronimus@teleworm.us;Mariannalaan 101;Apeldoorn;donderdag 31 augustus 2017;Bezorgen;donderdag 31 augustus 2017;19:50;Americana;Italian Pizza;Tomatensaus;€ 6,95;€ 2,00;1;;€ 0,00;€ 9,95;€ 21,90;;€ 0,00;€ 21,90
;;;;;;;;;;Bacon Gorgonzola;Italian Pizza;Tomatensaus;€ 8,95;€ 2,00;1;;€ 0,00;€ 11,95;;;;

Tiel;Annechien Docter;06-99168145;AnnechienDocter@cuvox.de;Tielerwaardlaan 162;Tiel;maandag 28 oktober 2019;Afhalen;maandag 28 oktober 2019;17:42;Extravaganzza;Large Pizza;Tomatensaus;€ 7,95;;1;;€ 0,00;€ 11,95;€ 69,65;€ 2,- Korting op een bestelling vanaf € 25,-;€ 2,00;€ 67,65
;;;;;;;;;;Veggi;Medium Cheesy Crust Pizza;Tomatensaus;€ 6,95;;2;;€ 0,00;€ 17,90;;;;
;;;;;;;;;;BBQ Cannibale;Italian Pizza;Barbecue Saus;€ 4,95;;4;Chorizo, Spinazie, Kip, Ham;€ 4,00;€ 39,80;;;;

Alkmaar;Egbert Valentijn;06-66100296;EgbertValentijn@armyspy.com;Westerweg 160;Alkmaar;woensdag 8 februari 2017;Afhalen;woensdag 8 februari 2017;16:21;Hawaii;Medium Cheesy Crust Pizza;Tomatensaus;€ 6,95;;2;;€ 0,00;€ 17,90;€ 97,50;2e pizza gratis bij afhalen;€ 6,95;€ 90,55
;;;;;;;;;;Deluxe;Italian Pizza;Tomatensaus;€ 6,95;;4;;€ 0,00;€ 31,80;;;;
;;;;;;;;;;Veggi;Family XXL Pizza;Tomatensaus;€ 6,95;;2;;€ 0,00;€ 23,90;;;;
;;;;;;;;;;Salame Speciale;Large Pizza;Tomatensaus;€ 6,95;;2;Paprikamix;€ 1,00;€ 23,90;;;;

Wijchen;Ian van Iterson;06-83433918;IanvanIterson@rhyta.com;Spoorstraat 172;Wijchen;zondag 30 december 2018;Bezorgen;zondag 30 december 2018;17:21;Shoarma;Medium Pizza;Tomatensaus;€ 7,95;€ 2,00;1;;€ 0,00;€ 9,95;€ 60,70;;€ 0,00;€ 60,70
;;;;;;;;;;Pollo Pomodore;Medium Pizza;Tomatensaus;€ 8,95;€ 2,00;2;;€ 0,00;€ 21,90;;;;
;;;;;;;;;;BBQ Cannibale;Medium Cheesy Crust Pizza;Barbecue Saus;€ 4,95;€ 2,00;1;;€ 0,00;€ 8,95;;;;
;;;;;;;;;;Supreme;Medium Pizza;Barbecue Saus;€ 7,95;€ 2,00;2;;€ 0,00;€ 19,90;;;;

Rotterdam Mariniersweg;Santusha Beekers;06-35537640;SantushaBeekers@cuvox.de;Stellendamhof 111;Rotterdam;dinsdag 18 december 2018;Bezorgen;dinsdag 18 december 2018;18:34;Veggi;Italian Pizza;Tomatensaus;€ 6,95;€ 2,00;1;;€ 0,00;€ 9,95;€ 22,90;;€ 0,00;€ 22,90
;;;;;;;;;;BBQ Chicken Hawaii;Large Pizza;Barbecue Saus;€ 6,95;€ 2,00;1;;€ 0,00;€ 12,95;;;;

Etten Leur;Sonam Zwier;06-68893114;SonamZwier@dayrep.com;Pomeranusstraat 12;Etten-Leur;zondag 10 november 2019;Afhalen;zondag 10 november 2019;19:51;Margaritha;Medium Cheesy Crust Pizza;Tomatensaus;€ 4,95;;4;;€ 0,00;€ 27,80;€ 60,65;;€ 0,00;€ 60,65
;;;;;;;;;;Salame Speciale;Family XXL Pizza;Tomatensaus;€ 6,95;;2;Salami;€ 1,00;€ 25,90;;;;
;;;;;;;;;;Americana;Medium Pizza;Tomatensaus;€ 6,95;;1;;€ 0,00;€ 6,95;;;;

Enschede;Navin van Zwam;06-71767755;NavinvanZwam@teleworm.us;Tweede Bothofdwarsstraat 92;Enschede;zaterdag 3 februari 2018;Bezorgen;zaterdag 3 februari 2018;18:35;Funghi;Large Pizza;Tomatensaus;€ 4,95;€ 2,00;1;;€ 0,00;€ 10,95;€ 19,90;;€ 0,00;€ 19,90
;;;;;;;;;;Hawaii;Medium Pizza;Tomatensaus;€ 6,95;€ 2,00;1;;€ 0,00;€ 8,95;;;;

Assen;Jet Veenendaal;06-73217004;JetVeenendaal@cuvox.de;Mercuriusplein 37;Assen;dinsdag 7 november 2017;Bezorgen;dinsdag 7 november 2017;19:49;Beenham;Family XXL Pizza;Tomatensaus;€ 6,95;€ 2,00;2;;€ 0,00;€ 27,90;€ 107,55;;€ 0,00;€ 107,55
;;;;;;;;;;Salame Speciale;Italian Pizza;Tomatensaus;€ 6,95;€ 2,00;1;;€ 0,00;€ 9,95;;;;
;;;;;;;;;;Pollo Pomodore;Large Pizza;Tomatensaus;€ 8,95;€ 2,00;2;;€ 0,00;€ 29,90;;;;
;;;;;;;;;;Beenham;Italian Pizza;Tomatensaus;€ 6,95;€ 2,00;4;;€ 0,00;€ 39,80;;;;

Vlaardingen;Ergin Portier;06-18209311;ErginPortier@fleckens.hu;Amalia van Solmslaan 48;Vlaardingen;dinsdag 30 april 2019;Afhalen;dinsdag 30 april 2019;18:58;Margaritha;Large Pizza;Tomatensaus;€ 4,95;;2;;€ 0,00;€ 17,90;€ 68,65;;€ 0,00;€ 68,65
;;;;;;;;;;Creamy Bacon;Medium Cheesy Crust Pizza;Creme Fraiche;€ 7,95;;2;Gehakt, Kaasmix;€ 2,50;€ 24,90;;;;
;;;;;;;;;;Supreme;Medium Cheesy Crust Pizza;Barbecue Saus;€ 7,95;;1;;€ 0,00;€ 9,95;;;;
;;;;;;;;;;Shoarma;Medium Pizza;Tomatensaus;€ 7,95;;2;;€ 0,00;€ 15,90;;;;

Papendrecht;Luck Eeken;06-86413321;LuckEeken@jourrapide.com;Brederodehuis 153;Papendrecht;dinsdag 24 januari 2017;Afhalen;dinsdag 24 januari 2017;18:41;Tricolore;Medium Pizza;Creme Fraiche;€ 8,95;;2;;€ 0,00;€ 17,90;€ 44,70;;€ 0,00;€ 44,70
;;;;;;;;;;Veggi;Italian Pizza;Tomatensaus;€ 6,95;;1;;€ 0,00;€ 7,95;;;;
;;;;;;;;;;Dessert Box;;;€ 5,95; ; 2;;;€ 11,90;;;;
;;;;;;;;;;Pasta Bolognese;;;€ 6,95; ; 1;;;€ 6,95;;;;

Dordrecht Van Oldenbarneveltplein;Joëy Broeders;06-55883302;JoeyBroeders@armyspy.com;Van Elzelingenweg 58;Dordrecht;zondag 25 augustus 2019;Afhalen;zondag 25 augustus 2019;17:48;Salame Speciale;Family XXL Pizza;Tomatensaus;€ 6,95;;1;;€ 0,00;€ 11,95;€ 11,95;;€ 0,00;€ 11,95

Den Bosch Empel;Imelda Schwarz;06-90507893;ImeldaSchwarz@armyspy.com;Kruiskampsingel 18;s-Hertogenbosch;woensdag 25 oktober 2017;Bezorgen;woensdag 25 oktober 2017;17:18;Caprese;Italian Pizza;Tomatensaus;€ 4,95;€ 2,00;2;;€ 0,00;€ 15,90;€ 81,60;;€ 0,00;€ 81,60
;;;;;;;;;;Bacon Gorgonzola;Italian Pizza;Tomatensaus;€ 8,95;€ 2,00;2;;€ 0,00;€ 23,90;;;;
;;;;;;;;;;Supreme;Italian Pizza;Barbecue Saus;€ 7,95;€ 2,00;2;;€ 0,00;€ 21,90;;;;
;;;;;;;;;;Beenham;Italian Pizza;Tomatensaus;€ 6,95;€ 2,00;2;;€ 0,00;€ 19,90;;;;

Groningen Paterswoldseweg;Djimmy Keeris;06-49359674;DjimmyKeeris@fleckens.hu;Pluimerstraat 174;Groningen;donderdag 11 mei 2017;Bezorgen;donderdag 11 mei 2017;19:24;Americana;Family XXL Pizza;Tomatensaus;€ 6,95;€ 2,00;1;;€ 0,00;€ 13,95;€ 49,75;;€ 0,00;€ 49,75
;;;;;;;;;;Funghi;Medium Cheesy Crust Pizza;Tomatensaus;€ 4,95;€ 2,00;4;;€ 0,00;€ 35,80;;;;

Leidschendam;Len Nederpelt;06-83473762;LenNederpelt@jourrapide.com;Veursestraatweg 200;Leidschendam;vrijdag 28 september 2018;Afhalen;vrijdag 28 september 2018;16:29;Veggi;Medium Pizza;Tomatensaus;€ 6,95;;2;;€ 0,00;€ 13,90;€ 13,90;3e pizza gratis bij bezorgen;€ 0,00;€ 13,90

Den Bosch;Leonie Takken;06-77858085;LeonieTakken@jourrapide.com;Heinis 181;s-Hertogenbosch;vrijdag 2 juni 2017;Bezorgen;vrijdag 2 juni 2017;18:32;Four Cheese;Medium Pizza;Tomatensaus;€ 7,95;€ 2,00;1;;€ 0,00;€ 9,95;€ 9,95;;€ 0,00;€ 9,95

Veghel;Thijme Castelijn;06-87301893;ThijmeCastelijn@fleckens.hu;Dilleveld 136;Veghel;zaterdag 9 maart 2019;Afhalen;zaterdag 9 maart 2019;19:35;Perfect Pepperoni;Family XXL Pizza;Tomatensaus;€ 4,95;;1;;€ 0,00;€ 9,95;€ 9,95;€ 2,- Korting op een bestelling vanaf € 25,-;€ 0,00;€ 9,95

Wassenaar;Jefrey Pasterkamp;06-11029836;JefreyPasterkamp@teleworm.us;Eikendael 8;Wassenaar;zondag 26 februari 2017;Afhalen;zondag 26 februari 2017;16:32;Pollo Pomodore;Large Pizza;Tomatensaus;€ 8,95;;1;;€ 0,00;€ 12,95;€ 79,65;;€ 0,00;€ 79,65
;;;;;;;;;;Pollo Pomodore;Italian Pizza;Tomatensaus;€ 8,95;;1;;€ 0,00;€ 9,95;;;;
;;;;;;;;;;Margaritha;Large Pizza;Tomatensaus;€ 4,95;;1;;€ 0,00;€ 8,95;;;;
;;;;;;;;;;Extravaganzza;Large Pizza;Tomatensaus;€ 7,95;;4;;€ 0,00;€ 47,80;;;;

